horsepower,bore_size,grunt,load
130.0,38.375,90.62403846153846,0.08761415525114155
165.0,43.75,92.80303030303031,0.09477389656106147
150.0,39.75,84.27,0.09254947613504075
150.0,38.0,77.01333333333334,0.08855228662976988
140.0,37.75,81.43214285714286,0.08756161206146709
198.0,53.625,116.1875,0.09882515549412578
220.0,56.75,117.11136363636363,0.10427193385392743
215.0,55.0,112.55813953488372,0.10204081632653061
225.0,56.875,115.01388888888889,0.10282485875706214
190.0,48.75,100.06578947368422,0.1012987012987013
170.0,47.875,107.85955882352941,0.10749368509682851
160.0,42.5,90.3125,0.0942089221390967
150.0,50.0,133.33333333333334,0.10635469290082425
225.0,56.875,115.01388888888889,0.091
95.0,28.25,33.60263157894737,0.047639123102866776
95.0,33.0,68.77894736842106,0.06989057536180728
97.0,33.166666666666664,68.04295532646047,0.07173756308579668
85.0,33.333333333333336,78.43137254901961,0.07730962504831851
88.0,24.25,26.730113636363637,0.045539906103286384
46.0,24.25,51.13586956521739,0.05286103542234333
87.0,27.5,34.770114942528735,0.04116766467065868
90.0,26.75,31.802777777777777,0.044032921810699586
95.0,26.0,28.46315789473684,0.043789473684210524
113.0,30.25,32.39159292035398,0.05416293643688451
90.0,33.166666666666664,73.33518518518518,0.07515105740181269
215.0,45.0,75.34883720930233,0.0780065005417118
200.0,38.375,58.905625,0.07015539305301645
210.0,39.75,60.19285714285714,0.07256960292104062
193.0,38.0,59.85492227979275,0.06424344885883347
88.0,24.25,26.730113636363637,0.045539906103286384
90.0,35.0,54.44444444444444,0.061837455830388695
95.0,28.25,33.60263157894737,0.050718132854578095
75.0,24.5,32.013333333333335,0.047898338220918865
100.0,38.666666666666664,89.70666666666666,0.08807896735003796
105.0,37.5,80.35714285714286,0.06542599592904914
100.0,41.666666666666664,104.16666666666666,0.07509762691498949
88.0,41.666666666666664,118.37121212121212,0.07571168988491823
100.0,38.666666666666664,89.70666666666666,0.0705596107055961
165.0,43.75,92.80303030303031,0.08315514373960561
175.0,50.0,114.28571428571429,0.08960573476702509
153.0,43.875,100.65441176470588,0.08449687048627828
150.0,39.75,84.27,0.07763671875
180.0,47.875,101.86736111111111,0.07729566094853683
170.0,50.0,117.64705882352942,0.08428150021070376
175.0,50.0,114.28571428571429,0.07782101167315175
110.0,43.0,100.85454545454546,0.08710330857528698
72.0,35.0,68.05555555555556,0.05813953488372093
100.0,41.666666666666664,104.16666666666666,0.07617306520414381
88.0,41.666666666666664,118.37121212121212,0.07964319847085059
86.0,30.5,43.26744186046512,0.054954954954954956
90.0,29.0,37.37777777777778,0.054639660857277436
70.0,19.75,22.289285714285715,0.038090646094503376
76.0,22.0,25.473684210526315,0.04261501210653753
65.0,17.75,19.388461538461538,0.04004512126339538
69.0,18.0,18.782608695652172,0.044637321760694355
60.0,24.25,39.204166666666666,0.05288985823336968
70.0,22.75,29.575,0.046547314578005115
95.0,28.25,33.60263157894737,0.04960491659350307
80.0,24.375,29.70703125,0.04586077140169332
54.0,24.25,43.56018518518518,0.04303460514640639
90.0,35.0,54.44444444444444,0.05813953488372093
86.0,30.5,43.26744186046512,0.05480682839173405
